,Real Oil Prices
1,-0.39236853655331627
2,-0.19828140317896237
3,0.021748245135533306
4,0.17774656392764454
5,-0.13923995071293271
6,-0.14826199943358187
7,0.2636392393166438
8,-0.018991973235652715
9,0.000198921538239194
10,0.01943590093434988
11,0.05321320052617562
12,0.14100538667568818
13,-0.05304486014220311
14,0.026944109883913825
15,0.01610594401661647
16,0.03722096636065331
17,0.027478343991332643
18,0.05871739506960516
19,-0.053853916439238425
20,-0.04265508158580289
21,0.014143808675693315
22,-0.05566696711893515
23,-0.08869474700439905
24,-0.012172685088661872
25,-0.021175077789050256
26,-0.03894607001190575
27,0.09156172278077834
28,-0.02750105863559238
29,-0.056688346538721124
30,-0.06856521895100043
31,-0.0029210414828271247
32,-0.06941891539792344
33,-0.05775284514043566
34,0.02318478478514452
35,0.1437339014432748
36,0.09128722179471849
37,-0.007744290923501929
38,0.07743335932782358
39,0.07112393884209034
40,-0.05099812573578033
41,-0.00671360387693154
42,-0.016775850205108966
43,-0.06258558874370523
44,0.05052675523862993
45,0.020904409527175094
46,-0.01599146829378828
47,0.05739329002291438
48,0.07065927855906695
49,-0.03727256070036811
50,-0.08566195298911738
51,-0.10339490417607289
52,-0.014108564512686161
53,-0.09219049363363263
54,0.0950473409249093
55,0.3837947503263801
56,0.19777533108150402
57,0.06601604040966436
58,-0.11088018728881899
59,-0.17357449135299552
60,-0.08183892500575718
61,-0.2093270651120589
62,-0.02872906652247975
63,0.04345147417417161
64,0.015326888915644155
65,-0.05317335013197555
66,0.056733978008480346
67,0.01052784872317103
68,0.006254607611877461
69,0.05795584225978967
70,-0.03807223846783536
71,-0.1442200269763303
72,-0.037812976750285276
73,0.009473494295888951
74,-0.008346604439110727
75,0.06479268354637435
76,0.03425318153166712
77,0.062185636547818834
78,-0.030473346600541795
79,-0.022541825110690805
80,0.022861315054082176
81,-0.012964939711336054
82,-0.06708081809209432
83,-0.0482074599818616
84,-0.023279258955852367
85,0.05210685705192031
86,0.009986794903903196
87,-0.006933939119861066
88,-0.017703428512222175
