date,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,ACOGNO,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXAFEGSMTHx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,UMCSENTx,DTCOLNVHFNM,DTCTHFNM,INVEST,VIXCLSx,Real Oil Prices
2012-06,9.545346677573928,9.359165467534243,4.602927683457762,14.05947504145641,12.888234710033892,4.579810336094412,4.604575018911299,4.616159590678401,4.586633447316707,4.462232417511479,4.6206802900450095,4.631817968913495,4.554691307242495,4.567930320060908,4.602192767874652,4.594213388917678,4.617286496146237,4.499303998055144,4.310330572678817,8.271548375011204,-1.1771755332870215,11.951715736458471,11.866332073722498,8.2,3.696351493766533,7.918264686459307,7.939515261018785,8.885579291421351,7.504942068946529,8.595819512056304,12.84581904936564,11.805647316382082,9.820703591111522,6.688230174436123,8.634264863179979,9.387314322527322,8.919988071102212,8.402006781831536,11.657856632554276,10.13946835269132,8.630343289527497,9.600495545581277,8.959440143745448,9.995610841457534,3.7160081458330887,1.4350847633845325,3.7305011527855703,6.629363254758453,4.382026647173881,4.574710988812661,5.910796646750554,5.351858138215403,6.677083462506581,4.394449167018117,4.787491751115379,6.0137151584877895,5.214935763043768,12.182112889340065,12.290069065438823,11.218111353228275,13.807355394833914,14.292945258283106,0.2623650336979644,7.729867191262584,9.210270369626077,8.383798932474177,14.778226755549456,7.349488026903765,14.253894512830191,7.242773960417962,8.169004055521098,7.596408507348292,-1.9459658696076745,7.18801991086164,7.484430439691301,0.7607190121811742,2.71328637637793,0.16,0.21,0.09,0.15,0.19,0.71,1.62,3.64,5.02,-2.995712273753988,-0.07,-0.01,0.03,0.55,1.46,3.48,4.86,4.498568912019038,-0.0433240804615588,4.373429800056287,0.4418619661380246,0.027616139795146,5.258016074980133,5.319589506718339,5.290789105165029,5.416100406648865,5.348059463200225,5.431641242017363,4.838248234366749,5.357647037336012,6.028974665816929,5.224869950794275,4.727750593609534,5.6019564497646455,5.428178285593522,5.393850253369495,5.391042394087456,4.602205806553764,4.605190195787894,4.594584363352788,4.6042998173271545,3.0407056869978684,3.1747149708884503,2.9486407184310406,4.293195434628468,12.566937867980094,13.60978113424193,7.865294705111266,3.047565469668371,3.5839000837968524
2012-07,9.539359978107068,9.35249076416761,4.605020184738466,14.061376391799683,12.892696092742888,4.58182172986452,4.602637992691004,4.61427363358437,4.586855501355977,4.45896916869431,4.621777527517086,4.619966193208884,4.561059466619049,4.5673250167403605,4.603292434115002,4.591942089224685,4.640278618756383,4.495827317947317,4.30700806920973,8.225503097834656,-1.2203802025410422,11.950844855749567,11.865636563249517,8.2,3.671224544320508,7.886832999330714,8.001019961658772,8.85123390298924,7.480428306638224,8.558335134939352,12.827992316804435,11.80673621863764,9.822657034675789,6.684611728917927,8.636219898015435,9.389657419833425,8.923058219679008,8.40312823535243,11.658807770099925,10.13970526337709,8.632305998694996,9.599845460573356,8.95905451484426,9.994835347041038,3.7160081458330887,1.4350847633845325,3.7305011527855703,6.606650187549567,4.465908130148836,4.7361984571664255,5.857933157340602,5.241747020350648,6.744059187489204,4.499809681441376,4.787491751115379,6.075346033387535,5.318119998746178,12.19930479521447,12.308814234796593,11.281699337475263,13.81598144707959,14.30111190783368,0.2623650336979644,7.7471649669523,9.215507002027026,8.388745995418278,14.789239664486072,7.367582302407705,14.27261889922491,7.25393602160397,8.167540391837989,7.602203797933859,-1.9345443412545555,7.215078201674308,7.510901163195032,0.7484983144194939,2.739458754928379,0.16,0.24,0.1,0.15,0.19,0.62,1.53,3.4,4.87,-2.52571614438638,-0.06,-0.01,0.03,0.46,1.37,3.24,4.71,4.500588267145083,-0.0219378853379413,4.368622207918879,0.4442376439219068,0.0141011103771122,5.259576543429112,5.320567980372832,5.28675073523474,5.448890229328486,5.332718798096287,5.431930010246601,4.835765908767945,5.355599944068246,6.033095816476993,5.223065669051304,4.728546448126933,5.603564273863997,5.428397815886425,5.393659368573302,5.39103327960504,4.602566810144044,4.603689099721115,4.59323930524015,4.605500141546768,3.042615907162764,3.178470451882474,2.950211810580804,4.280824142995978,12.576938751907798,13.610369301085072,7.878631805391575,2.855113021293708,3.649440010812954
2012-08,9.53744335395888,9.351301595013677,4.605220194737633,14.060486831400553,12.904615244609513,4.577861690206682,4.601275622009438,4.6126928298180765,4.58197321461857,4.448977100202348,4.618178223426741,4.627485350296381,4.554228419281129,4.5603715555382776,4.609108430911308,4.590845079844811,4.629510551180778,4.504390285498031,4.304895842630883,8.24512196674114,-1.18603598846929,11.949650193486994,11.865629535422835,8.1,3.67882914351296,7.931644021813506,7.941295571262277,8.837681215738355,7.52077641560451,8.5255581079462,12.830003715404116,11.808054738064504,9.8232531598797,6.683486095631825,8.639056779350131,9.389323027588237,8.921591063697456,8.404696160412906,11.660241412573995,10.140928408590597,8.632305998694996,9.60060385200733,8.960210955705405,9.994972242703936,3.7111300874986335,1.4109872176126714,3.7256934513330378,6.625392369334216,4.330733353444225,4.875197330834739,5.937536207720949,5.12396398535564,6.733401893027835,4.406719259459375,4.828313745302301,6.086774729185034,5.2626901940862325,12.222575717634106,12.210841257610252,11.079523738184466,13.805526886556326,14.30519487079746,0.2623650336979644,7.763913768226327,9.222397393188196,8.389836979002387,14.79033431402446,7.366571563219328,14.272238960010611,7.26255124945534,8.167969503788095,7.608721129425456,-1.9294618087420636,7.246688770657216,7.545537730733959,0.7315084018597485,2.764245364906506,0.13,0.19,0.1,0.14,0.18,0.71,1.68,3.48,4.91,-2.813394050232257,-0.03,0.01,0.05,0.58,1.55,3.35,4.78,4.487424410887525,-0.0324188583055033,4.365527532474987,0.4524765484287097,-0.0076280195067964,5.271459917514261,5.336094735696703,5.296816245429281,5.493472885435611,5.336576083477446,5.437722727964457,4.8309742031225245,5.382534430996924,6.034416274536256,5.233917507796392,4.72566953800348,5.606063065321024,5.434874182336031,5.40123490506573,5.3971712645051015,4.605919914871143,4.601734300086608,4.604079601516974,4.607168198630804,3.0416612531978817,3.1805507521092915,2.947591950691952,4.308110965182664,12.588833859738818,13.617425710758562,7.883980474945132,2.728009744191038,3.712124292357721
2012-09,9.54504139814414,9.359647914237508,4.606629131209757,14.061992439389297,12.912261907209931,4.577164677061632,4.598183848264164,4.609488857089014,4.579220393728417,4.43663082885366,4.617815900829912,4.624560973587983,4.5561616584791205,4.555216005114,4.611952146416832,4.588561024348181,4.606439390207552,4.506481817524439,4.301637838993799,8.264105763986555,-1.1380907486352474,11.952212121560349,11.870907554229158,7.8,3.68386693741602,7.839131648668344,7.944137491468848,8.820994645895503,7.529943371138357,8.499232866242869,12.852652190276403,11.809408693382512,9.823415677824736,6.677838844638994,8.641355834213307,9.388821229467853,8.920389060213996,8.405367376457644,11.661785028649517,10.14203190046575,8.631699754360076,9.602416243032897,8.961879012805888,9.995382817285996,3.713572091094552,1.4350847633845325,3.7256934513330378,6.741700695832692,4.356708839510104,4.969813306520445,6.047372181410344,5.3082677023517,6.83518458722257,4.454347307881415,5.010635300762923,6.161207323804781,5.393627550897816,12.22980870321164,12.28882245493052,11.253830849383318,13.809649414975564,14.313125706377017,0.2546429935670787,7.777625038354562,9.230221427667365,8.392899004370667,14.769058538194525,7.324819523592632,14.231255975480655,7.268531272808324,8.169021789945539,7.61294080254423,-1.9358771335018077,7.274770577407901,7.573258872619268,0.7178365633890036,2.7882748928310286,0.14,0.17,0.11,0.14,0.18,0.67,1.72,3.49,4.84,-3.5065245645421914,-0.03,0.0,0.04,0.53,1.58,3.35,4.7,4.4648397435473886,-0.0633648102058094,4.358441952164749,0.4778484033851742,-0.0219378853379413,5.280662436398375,5.349010485616407,5.306781449918025,5.505737961460399,5.415655863411691,5.442482647807262,4.839340723997069,5.400756623982909,6.036564580158268,5.242355300915754,4.722250761643877,5.608339289673746,5.440307264316803,5.407135900861619,5.402132192743149,4.608953031995555,4.599524287857885,4.614159669236397,4.608644154764912,3.042615907162764,3.1826267336696445,2.948116472050711,4.36054761576815,12.594035614193093,13.62028966531436,7.890444913285952,2.7368903633068253,3.7113932159599625
2012-10,9.551751819231916,9.368411926632056,4.606559230818485,14.058120209368283,12.912683778920314,4.580288190715952,4.596022483042949,4.606900697788453,4.579262470709368,4.447752353157471,4.615087852941463,4.614810577725985,4.565045875113324,4.559434063980672,4.616495818205388,4.586460251685422,4.648285239038953,4.524289805064263,4.298612430094903,8.236155661948025,-1.1667833643503238,11.954748217205696,11.873609362313037,7.8,3.67882914351296,7.876638461354969,7.958227192672084,8.822322177619144,7.493317249418938,8.514790307000409,12.81719599061424,11.810590045982718,9.824011351088467,6.666065811654228,8.643649615545039,9.389406636133067,8.92065629698733,8.40648506965523,11.663059517519544,10.143448888815833,8.63365980559218,9.603483205128589,8.963032193790733,9.994378892769852,3.713572091094552,1.4109872176126714,3.7256934513330378,6.818924066368417,4.356708839510104,5.081404371195643,6.098074284413431,5.442417714850798,6.787844983436975,4.454347307881415,5.043425123370859,6.124683393082388,5.241747020350648,12.235612030112325,12.2983646388294,11.279175867881428,13.816429135943311,14.313515344914704,0.2546429935670787,7.791564141024244,9.236719366799996,8.39671903817397,14.775550196768826,7.330143054941689,14.236914629874596,7.27882947500769,8.168090023663876,7.619897403396848,-1.9385968187666371,7.270883357289016,7.565068007051108,0.7402510885601448,2.78685444619746,0.16,0.19,0.1,0.15,0.18,0.71,1.75,3.47,4.58,-3.5065245645421914,-0.06,-0.01,0.02,0.55,1.59,3.31,4.42,4.466628560223648,-0.0700995550639536,4.369614939772982,0.4749917926471285,-0.0128816128655623,5.281679730478897,5.350435325556227,5.308762629357621,5.500032974535262,5.435467209054468,5.445175812550019,4.846475811784175,5.406781565294751,6.038037972793806,5.246034113892403,4.721414269175471,5.610357853069157,5.443131745581365,5.4100242061239765,5.4049181172962735,4.611917382378089,4.598618782331846,4.618974476827394,4.611579611664941,3.0435696506325924,3.1813816619688584,2.9491646901211017,4.41400969263347,12.597743988916692,13.623750308529209,7.892992054953525,2.80582407080144,3.6541212908341527
2012-11,9.565183960076029,9.383604366031728,4.61090372777868,14.07638140014008,12.917221813601689,4.584293792611396,4.60209547390181,4.612875434171687,4.583828064478572,4.46004153003275,4.61770233948285,4.626166228332144,4.5667983228596665,4.567523364018037,4.617106671841804,4.592727100903074,4.6389250365703605,4.519434732843144,4.304015105468317,8.263074836060461,-1.1300005770994257,11.953358666913289,11.872925873424514,7.7,3.663561671770672,7.870929597136822,7.928766321986925,8.78722032878197,7.4645098352095935,8.47741232161251,12.902339953428855,11.81179967118354,9.824281994409274,6.673929880584491,8.645410489392924,9.388486557443338,8.921057018290975,8.403352375216592,11.66441833022968,10.146355296737289,8.634211490469443,9.608928554878515,8.963928193850561,9.993465358700057,3.713572091094552,1.4109872176126714,3.7256934513330378,6.725033643367323,4.204692634316339,5.049856013659793,6.095824564684477,5.11198779438064,6.821107473346977,4.330733353444225,5.117993818404779,6.186208625958107,5.236441968149098,12.229842881647492,12.288564658900995,11.220512218155942,13.816500068238469,14.317562000941969,0.2546429935670787,7.800245001079975,9.243543012900636,8.405210799673222,14.78886192112042,7.343490910755338,14.250599191139155,7.284297250790346,8.176285432674643,7.629241241648033,-1.9420061017748955,7.240298378787973,7.533699057962673,0.7890263334683704,2.763229212736052,0.16,0.21,0.09,0.14,0.18,0.67,1.65,3.5,4.51,-2.995712273753988,-0.07,-0.02,0.02,0.51,1.49,3.34,4.35,4.478511136056275,-0.0631517498162321,4.394825639348744,0.4680022528273713,-0.0030035060117746,5.276582879511892,5.343290736970882,5.30131288051288,5.50736199753954,5.405825578753667,5.443495056383203,4.845689901547999,5.38830888641403,6.039084982172902,5.238848644234796,4.722055049519737,5.612335825463124,5.440888407534732,5.406871282371606,5.403028676017121,4.611241726824188,4.598437582792212,4.610943498302366,4.61329708311876,3.0459500372657247,3.183870257094405,2.9512578357260755,4.415219614121544,12.60083794766888,13.628306718200612,7.901554902265421,2.8142044616611885,3.6221663352725977
2012-12,9.589468623199902,9.411418257334368,4.611321239411276,14.08007854629458,12.920878572869965,4.586989932132126,4.60377922905587,4.614428207943817,4.583448989614708,4.481565372873855,4.61170082486897,4.633992804691661,4.570582892348573,4.57609147878248,4.620310993279046,4.599840015836563,4.560323446787894,4.521521160861736,4.3103426588043865,8.286521373933125,-1.130667455616824,11.955223823130169,11.872904942924238,7.9,3.627004076991593,7.9215356324963935,7.972810784466112,8.799209242392244,7.528869257179596,8.469682208954918,12.791077667473202,11.81358545871967,9.8272542465905,6.680227130605596,8.652423140851045,9.389323027588237,8.923324744200807,8.401782340129376,11.666015582608749,10.146747407474365,8.635242858367782,9.606825278570836,8.965590067035645,9.993648132289774,3.718438280627325,1.4586152552576293,3.7305011527855703,6.883462587437682,4.762173943344765,5.236441968149098,6.126869186297591,5.361292170404261,6.846943140648079,4.553876902126857,5.030437927928383,6.1590953906060975,5.393627550897816,12.22867038247804,12.347072951255956,11.288118030181836,13.828664662142694,14.321353589207584,0.2546429935670787,7.808201141700843,9.255285056614884,8.417085522260917,14.799796330324613,7.359085643599032,14.266331367793873,7.296045269545085,8.174904383575202,7.636715537237248,-1.9586556307253773,7.260023528389057,7.5510817650836675,0.7871664898220098,2.7875353663008995,0.16,0.17,0.07,0.12,0.16,0.7,1.72,3.65,4.63,-4.605070190987759,-0.09,-0.04,0.0,0.54,1.56,3.49,4.47,4.471282169780937,-0.0819684774450675,4.428319647841119,0.479025930602808,-0.0102513661597495,5.274536843002961,5.340418547360536,5.301811260784853,5.514637696541508,5.422303350745989,5.44337396744808,4.846460099630948,5.382309193865976,6.041018707453237,5.23493018769483,4.721966076799506,5.614721730055651,5.440450413024076,5.405933341244757,5.402749455851464,4.611082682680744,4.597561321860954,4.606009843377142,4.6148333568028805,3.047375554189209,3.183870257094405,2.9512578357260755,4.289088652732033,12.605492484433888,13.63239021022296,7.913264839996338,2.867864867374024,3.637540887729492
2013-01,9.538737305281613,9.350849861042589,4.615140328526195,14.083402593041386,12.928819889618756,4.587035756675599,4.600688166729145,4.609027746026888,4.5830922623673045,4.474331177072116,4.61312249241621,4.615286849541862,4.574005585442288,4.577685940664497,4.623509007148517,4.597490784721312,4.587810382766151,4.542278319037732,4.307300407978663,8.274611946464459,-1.156546102582422,11.956090900267638,11.872639785328364,8.0,3.572345665947872,7.930206207044395,8.043984431542581,8.79057347930932,7.544861069187278,8.4512670415137,12.774223335918268,11.814991096296664,9.829894832286572,6.685860948316798,8.656259239713268,9.391244257765967,8.924656302320143,8.404696160412906,11.667224705198986,10.148236027641866,8.637568420168524,9.60841826171749,8.966611387180464,9.99282538793405,3.7160081458330887,1.4350847633845325,3.728100191305679,6.788971744118296,4.454347307881415,4.532599503905944,6.186208625958107,5.407171775944423,6.84587987632788,4.605170195988091,5.030437927928383,6.133398045165846,5.420535003697065,12.244576755835917,12.318910138798008,11.315815090715011,13.834871911443877,14.328562900750926,0.2546429935670787,7.8146823083070895,9.257500637248436,8.417328656483203,14.824088723928767,7.40055948876122,14.308009265037992,7.303239073097161,8.17762135226652,7.643392060114133,-1.903178098254525,7.300067601187494,7.586904950405277,0.7562539447224903,2.826487427469921,0.14,0.19,0.07,0.11,0.15,0.81,1.91,3.8,4.73,-2.995712273753988,-0.07,-0.03,0.01,0.67,1.77,3.66,4.59,4.476859439189115,-0.0796916859555355,4.489288976962429,0.4678143595426882,-0.0079303623638812,5.280153401012015,5.348059463200225,5.306285541157531,5.515040354085088,5.416544752355157,5.44535279720601,4.852623845527692,5.384916996698236,6.042903583249687,5.236287700932195,4.722926563511372,5.617211004529721,5.442517276993459,5.407942779090069,5.404733828997763,4.613009388988094,4.596311069643751,4.607766821809425,4.617326013637282,3.0492730878753846,3.1855258865431386,2.953346609222393,4.301358745156562,12.609558896995718,13.630791573637357,7.911559218940965,2.5932976439039166,3.7111647968380113
2013-02,9.536419501233889,9.34846619411454,4.614724408697816,14.08708992496038,12.941002159339888,4.591814403260317,4.606021833233604,4.614816520143896,4.5880047085534965,4.496660282878448,4.613507345091968,4.623739710187794,4.5781771396778845,4.581890310264897,4.6208929430973065,4.601516529506732,4.590336722123627,4.543336281408902,4.310742761380986,8.295049140684862,-1.0934344309399926,11.953191275958446,11.873128179011276,7.7,3.594568802115222,7.905810313027527,7.937017489872724,8.772920092781337,7.476472381730157,8.453401058541631,12.774223335918268,11.81705158984532,9.832957786399255,6.693075807319521,8.662850764011491,9.392328539952262,8.925720273693146,8.405814603656411,11.669125472071173,10.149096848605112,8.638224279944286,9.609760579833528,8.968396191325628,9.993373959376353,3.720862524180062,1.481604768196917,3.73528585079444,6.869014451705207,4.663439103546029,4.912654893088993,6.210600079032685,5.402677386376784,6.887552572685026,4.465908130148836,5.062595039356081,6.212606097755526,5.463831809262898,12.275883182642124,12.367838541573663,11.384796595270965,13.849277000514094,14.329917959499491,0.2390176878717646,7.811527986702358,9.259254338100884,8.413653239969678,14.861179068138313,7.457840077277146,14.365306863628916,7.307581183963947,8.175752022352235,7.6511720531016945,-1.896733286330073,7.321393562840694,7.607137978721364,0.7439768725254979,2.841529613125765,0.15,0.16,0.1,0.12,0.16,0.85,1.98,3.9,4.85,-4.605070190987759,-0.05,-0.03,0.01,0.7,1.83,3.75,4.7,4.490856386815719,-0.0820770254955968,4.532616708058842,0.4365767493783229,0.0097532817372958,5.2862447903744965,5.356114469993461,5.316157289587959,5.512218340532455,5.422303350745989,5.450768035031656,4.853076599132454,5.40839972125695,6.044059371512759,5.2464133646639874,4.721877096162427,5.619516420362815,5.448842916381493,5.414824036885541,5.410475728901353,4.616663889585027,4.595321860032247,4.61818513293628,4.619408350533231,3.0516399527736096,3.186352674484954,2.9559514555712814,4.351567440075771,12.61047906009004,13.626965092773837,7.910136988108004,2.632104716114326,3.711536916638909
2013-03,9.53994076583422,9.351640261625658,4.61486306786253,14.081689843668276,12.93389899201454,4.59591550321568,4.609580456432633,4.619342295549492,4.59358535015916,4.506702537622223,4.617914639345728,4.627761089094521,4.582853010062738,4.581997777551625,4.618629215538559,4.600611822417023,4.675325723982981,4.5361469676121065,4.309369930075625,8.312871394587955,-1.0535292445278566,11.951212653452073,11.872807261463404,7.5,3.610917939671251,7.808729307150573,7.94661756359833,8.762958920923149,7.512071246381915,8.425735581146556,12.770818111288438,11.818120781380363,9.834137474454923,6.69443828972344,8.665957964853703,9.392578592047728,8.926783114234135,8.404696160412906,11.670177046323282,10.14894039080929,8.638578619724342,9.609834355080618,8.969032850161593,9.992871113716538,3.7232809049858577,1.481604768196917,3.73528585079444,6.917705610825404,4.564348201884503,4.948759897470366,6.318968115548237,5.384495067376245,6.841615477545968,4.584967488874653,4.976733749317126,6.184148892999339,5.33753808450901,12.236873394687734,12.2859045617626,11.268737015073034,13.847190410159984,14.329695532787278,0.2546429935670787,7.814520790035049,9.264667559547028,8.421893011781911,14.892218011244674,7.501800099050961,14.409334517229986,7.31309964713486,8.174430254042104,7.656140085043089,-1.8939746832040008,7.34654555110875,7.630718510731114,0.72779262677746,2.8663849787994926,0.14,0.15,0.09,0.11,0.15,0.82,1.96,3.93,4.85,-4.605070190987759,-0.05,-0.03,0.01,0.68,1.82,3.79,4.71,4.512517482962342,-0.054877605098124,4.551452914033966,0.4107849327155178,0.0241080515239357,5.280662436398375,5.348535087463766,5.306285541157531,5.510602178571042,5.387700932255195,5.447952155069809,4.843950845957576,5.389003238886576,6.047582561169726,5.236814239271156,4.720363212687317,5.621150588228169,5.445408907752192,5.40991241157591,5.407176260239281,4.615348223587378,4.59141603989392,4.608743803005709,4.621250216540216,3.0516399527736096,3.1851122360889947,2.955431028836685,4.364371712157807,12.614961851388962,13.629195292924564,7.909672105819015,2.5670932883676136,3.6891721838729095
2013-04,9.543797281421432,9.357034751213344,4.614793740683469,14.08069468902285,12.928443620769013,4.594774346010469,4.606833811395635,4.615583785753268,4.590498085203989,4.501847603444321,4.615294768985206,4.621716546810192,4.583422418332402,4.579613385344767,4.6159330678204,4.597249913271838,4.691206597019501,4.543687269066771,4.305661129670902,8.291045131332481,-1.081411142290982,11.953719106138122,11.87503063849579,7.6,3.5973122879857056,7.818832444205495,7.975220838997289,8.767329147949788,7.577121931388712,8.404696160412906,12.75780026061947,11.8194979841094,9.833762270098171,6.691090695007564,8.664923303613106,9.392661928853473,8.927181388384717,8.404248432624017,11.671833382613691,10.150152298930754,8.638631759863749,9.610813038628304,8.971067438859121,9.99282538793405,3.720862524180062,1.4586152552576293,3.732896363454155,6.727431726048461,4.369447865125249,4.997212280520872,6.011267176855142,5.298317371548037,6.919683850835553,4.615120526742249,5.12396398535564,6.251903885092671,5.411646056319325,12.224349599779863,12.331912030373733,11.303992956762306,13.854082021940336,14.33190564344573,0.2623650336979644,7.826004092961671,9.26731599142692,8.426633709376194,14.91801526134806,7.541523936553171,14.449066957111112,7.318033453016518,8.17557478422446,7.661488417552258,-1.891697168303204,7.359276659485645,7.643085128404994,0.7270315306210131,2.882183831462234,0.15,0.16,0.06,0.09,0.12,0.71,1.76,3.73,4.59,-4.605070190987759,-0.09,-0.06,-0.03,0.56,1.61,3.58,4.44,4.51106718824621,-0.0654979145416149,4.58249709304447,0.4259870844539031,0.0185282862566725,5.274536843002961,5.3394593146776765,5.300814251734155,5.511006464000425,5.325932538444823,5.445861992944476,4.84343878292728,5.370196074666664,6.047431281318617,5.230006410718031,4.718623872410701,5.622113170625131,5.442660109712165,5.405969259494662,5.404936094824283,4.614565917534937,4.58801386433444,4.601824605770506,4.622931525390689,3.054001228847777,3.188004202455238,2.956471611602767,4.33598270926148,12.618320598054476,13.630700932494111,7.921272027363837,2.645848573966283,3.681314167274908
2013-05,9.548721000815176,9.361480811372536,4.617306255086963,14.091394556036503,12.9344663062796,4.595692423556876,4.606116747857022,4.613022287393674,4.589502089925944,4.506946376684752,4.612693822323164,4.616494829466639,4.586075038568994,4.582521643113062,4.626543158078596,4.600508346480396,4.630603996993771,4.562167701342839,4.3086881875136855,8.32965806781065,-1.0337438694528938,11.95463249506728,11.876748798192516,7.5,3.605497872348798,7.89133075803586,7.875119281420376,8.753529336674333,7.593877845108643,8.377241231218836,12.759239109788563,11.821079058613192,9.83579740361968,6.696787304832934,8.670600738217106,9.392661928853473,8.927048647958443,8.404472321575982,11.673342186384652,10.15128469132802,8.639410824317478,9.612673915249571,8.972463821186764,9.99259672765364,3.720862524180062,1.4586152552576293,3.7305011527855703,6.83518458722257,4.634728997938374,4.934473940324937,6.177944116125289,5.32787617364395,6.910750788958945,4.653960359681333,4.997212280520872,6.232448018515159,5.4847969376400325,12.230389577810314,12.372832071405318,11.42696444526402,13.86722691285006,14.329923938029395,0.2468608591812205,7.833402106176592,9.270588452415693,8.429476111149343,14.9523494761049,7.591861715394474,14.499415157157792,7.320027963538117,8.173525429261732,7.667125522448384,-1.8916372558843213,7.402353955693068,7.6842826689401535,0.6957826735952198,2.923945644765966,0.11,0.14,0.04,0.08,0.12,0.84,1.93,3.89,4.73,-3.5065245645421914,-0.07,-0.03,0.01,0.73,1.82,3.78,4.62,4.5197353946248615,-0.0453101763570922,4.614314261211453,0.4250722914698212,0.0194113742961175,5.27862473830174,5.344723744135462,5.299316871876125,5.521860841881974,5.297817246508855,5.446276062693478,4.843525458182048,5.366022747574728,6.045753851347588,5.228404434435085,4.717417939084026,5.623855041727165,5.443283141123482,5.405538155324377,5.4055067133742165,4.615219531741102,4.586771982227334,4.598991144973358,4.625041448183745,3.054472815724162,3.1855258865431386,2.956991497212611,4.436751546197447,12.625463866956824,13.637294123614597,7.917679549883681,2.592691798645635,3.707599801150256
2013-06,9.548848748613812,9.361317449909157,4.617237097086285,14.08861159186735,12.937127177163278,4.597565352404371,4.608979929689907,4.615351193203718,4.592836447173368,4.520116538667281,4.613416104759822,4.615444236715554,4.5868901291929465,4.58423660961002,4.627889154663015,4.60265603816542,4.605353179243804,4.567352019206653,4.310721283429733,8.330863613465707,-1.0408271777438078,11.95600101608976,11.877561634096525,7.5,3.594568802115222,7.893572073878037,7.955425089263426,8.73729211270471,7.536897130099219,8.379079889516225,12.750139603078868,11.82238615235193,9.837507993655564,6.699746616483421,8.675051276202613,9.392995206643564,8.927844826344346,8.404024493534564,11.674585025324594,10.153584573449532,8.64036612008936,9.615852145728825,8.972971113524782,9.99149842990463,3.718438280627325,1.4586152552576293,3.732896363454155,6.732210707659101,4.454347307881415,4.812184363502499,6.052089171277358,5.323009984016457,6.848005275637934,4.6728288438077,4.969813306520445,6.163314806139905,5.375278412313794,12.221680211342624,12.415822905804108,11.484947712221278,13.890926888130895,14.331772577715538,0.2546429935670787,7.832410927584588,9.27600638235256,8.432528150752661,14.979130007941306,7.631868039283717,14.53947788086459,7.327592807923572,8.173519845210281,7.673338273096117,-1.8877087035842497,7.389421881201631,7.67052646562169,0.7204048819587184,2.90810629282508,0.09,0.14,0.05,0.09,0.14,1.2,2.3,4.27,5.19,-2.995712273753988,-0.04,0.0,0.05,1.11,2.21,4.18,5.1,4.511357195835786,-0.0692418310462394,4.577130739241208,0.4378038614726858,0.0309180721901948,5.279134552228102,5.345200957217879,5.298817246587189,5.516649364884317,5.293807216092752,5.448653642205192,4.844147723479155,5.372403914543692,6.050407758498779,5.231840974283855,4.716550554915894,5.6256083015729805,5.445689413266912,5.408072715264124,5.407709747801127,4.617375408305144,4.586395040851283,4.602697140530455,4.627078447820271,3.05541532281832,3.1851122360889947,2.959068341049618,4.432006578869508,12.629709378373324,13.641964047589008,7.913092908467462,2.8416949789650503,3.71846605588969
