,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,date,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,ACOGNO,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXAFEGSMTHx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,UMCSENTx,DTCOLNVHFNM,DTCTHFNM,INVEST,VIXCLSx,Real Oil Prices
1,2/1/1992,12.962951297950337,12.750811646897553,5.80395026954251,19.534470895372557,17.325208817710486,5.95256421138329,6.137923565555598,6.101171002983589,6.327297539572278,5.854030566758233,6.495431347855531,5.4024493267188545,5.732073787390956,5.078375001939131,6.639049788585354,5.950354095169114,6.235397744724987,5.991054666035516,6.299891190258712,11.453270634010623,-1.7534385166672384,16.956818536469605,16.845404290368194,7.4,4.06177619758669,11.67815995754276,11.527965641133955,11.635718120331047,10.52943055414615,10.734709620225837,18.75433949959095,16.724846883680126,14.43449792053815,9.28609565556913,12.171176797651771,14.038661832040045,13.286268962679781,12.73956967402599,16.39491480576051,14.432280897214161,12.31944632940715,13.64613114827346,12.671541066711884,14.189901755821518,5.332707933640605,1.9634741239748859,5.346956889378885,10.287712379549449,7.129283016944966,8.308339030139408,8.957102041562287,8.20945336562895,10.162391328756906,7.011227255423254,8.280770770130603,8.754887502163468,8.098032082960527,16.3994948999952,16.805429003855362,15.134947662720075,18.8375909784194,19.626849764469036,0.6415460290875237,9.853621455748828,11.731319031025064,11.260390330854175,18.33734314727405,5.7865963618908065,15.749764698345881,9.252043283902433,9.770607241043276,9.058420001566562,-3.3143906506864584,8.688460140424493,8.939255967402795,1.5736347048631665,4.453020804280348,0.0406,0.041100000000000005,0.0384,0.0393,0.0429,0.0658,0.07339999999999999,0.08289999999999999,0.09230000000000001,0.0005,-0.0022,-0.0013,0.0023,0.0252,0.032799999999999996,0.042300000000000004,0.051699999999999996,6.692070686004949,0.5421094383319428,6.996602287474876,0.8300930321329891,0.24184018356467063,6.9342805936400245,6.916476644437717,6.83035674741922,6.623515741490549,6.778734244117836,7.1147834472498515,7.03342300153745,6.960001932068081,7.53605290024021,6.997744026059632,6.8740592031411465,7.227856573060497,7.11790278909403,7.083213368248981,7.086401645880029,6.05371957360449,7.07169832311725,6.029938708615329,5.861682476483604,3.5716768099709313,3.7729413378313352,3.4982508675278257,6.104336659814735,15.967271297313822,17.53375617451359,9.539484544181043,4.091742141288933,13.715728715728718
2,3/1/1992,12.965336258292197,12.751983327995264,5.806581842620928,19.540265979406104,17.320879858269336,5.964606564933696,6.150102669536802,6.113979644314562,6.3401794696846805,5.883400876497016,6.502574064605251,5.419329887841342,5.743945751881543,5.095557371940568,6.659298094160088,5.96509624362457,6.222862508750404,5.997378226016315,6.311294208913425,11.523561956057012,-1.6840625121501427,16.961314028380617,16.850186837645776,7.4,4.095924419998536,11.73640193131829,11.451726268074506,11.642051692927977,10.476746203939467,10.790348496751914,18.71229860580055,16.725472773089376,14.433520241962103,9.28239346898991,12.173989374166535,14.036602922195364,13.283233078413188,12.73893668167614,16.395952451016896,14.432150377917841,12.318684021961525,13.64581602157435,12.6713199131833,14.191907427787324,5.329123596291566,2.0,5.346956889378885,10.3409627642517,7.098032082960526,8.357552004618084,9.044394119358454,8.247927513443585,10.079484783826816,6.94251450533924,8.049848549450562,8.79766152585376,7.960001932068081,16.463811708664277,16.87297541043332,15.269272811845505,18.83065755814433,19.632407747707724,0.6135316529179271,9.871443254934135,11.73297293871791,11.25685734257971,18.356383190214547,5.815063017192867,15.77828250999565,9.246447992642663,9.772755481251746,9.0571426648249,-3.3215585958742047,8.670160514126634,8.921424428903975,1.5966260267649992,4.462966490254381,0.0398,0.043,0.0404,0.0418,0.0463,0.0695,0.0754,0.08349999999999999,0.0925,0.0032,0.0006,0.002,0.006500000000000001,0.0297,0.0356,0.0437,0.0527,6.72855936708544,0.5939751793205555,7.05379232766189,0.7855923987042305,0.2543521627339931,6.9354597478052895,6.916476644437717,6.831623936820749,6.60139939053183,6.8060662260890314,7.1199786096548765,7.036723106005525,6.965784284662087,7.5453506448223,7.002252451731379,6.880195728943098,7.232660756790275,7.122051447713891,7.087462841250339,7.090641751917847,6.057211969538999,7.07077571231746,6.033621220826025,5.86596828884247,3.575312330687437,3.782408564927373,3.5008020530571575,6.247927513443585,15.94288099715904,17.542366508430952,9.549874941837809,4.019942047145399,13.601725377426312
3,4/1/1992,12.970717971198013,12.75595159817002,5.807792816589388,19.5498483698075,17.329559863141757,5.9757035480077665,6.16090809039692,6.124948426681075,6.353748484743552,5.910003456216357,6.511564498254654,5.433056251609344,5.755413722706955,5.105221297413279,6.661954772568487,5.973032612141426,6.2837217955835305,6.006448390313798,6.315729241591436,11.471675214392045,-1.7290701654981595,16.96399107293266,16.853626328656727,7.4,4.121015400961366,11.686500527183219,11.461990950585571,11.61194694181998,10.430452551665532,10.77313920671969,18.67400601470044,16.727534954248217,14.433846208442825,9.272396509037485,12.168358727223886,14.038833275301196,13.284390359165819,12.742730476519174,16.398459800400552,14.432737621786016,12.31537602721884,13.647761954109411,12.673750739438063,14.193756345698382,5.339850002884624,2.0,5.350497247084133,10.101975670949232,6.94251450533924,7.888743248898259,8.894817763307943,8.038918989292302,10.041659151637214,6.882643049361842,7.924812503605781,8.731319031025064,8.066089190457772,16.466188012240888,16.92543853748017,15.284281903522636,18.833455309941744,19.637242201624176,0.6135316529179271,9.88233736124948,11.73119172878745,11.251955735769107,18.345595828449074,5.655351828612554,15.621136113274641,9.239367488616166,9.783272802489558,9.049382728743765,-3.338580722148053,8.670337581893328,8.920442183611815,1.5964489585696646,4.496769768357436,0.0373,0.0404,0.0375,0.0387,0.043,0.0678,0.0748,0.0833,0.09210000000000002,0.0031,0.0002,0.0014000000000000002,0.005699999999999999,0.0305,0.0375,0.046,0.0548,6.722800297529697,0.6035017263563797,7.061122733374426,0.8127857088674362,0.24780601821921888,6.936637939002571,6.917670434361761,6.834154981401319,6.616181231331876,6.816343705284859,7.123086750981061,7.030115330908071,6.972692654004264,7.553821256532693,7.00337736020232,6.883865154509794,7.237448995639321,7.126188210522101,7.0916998341368105,7.093813673402728,6.061106528021588,7.073616750966075,6.034193701390649,5.871375485026214,3.5801454844233804,3.7834566543602395,3.5058909297299574,6.270528942380718,15.972082308562456,17.542546750962646,9.56221265401625,4.016897408951772,14.512195121951219
4,5/1/1992,12.978405873890127,12.763876285390722,5.815216759804336,19.53724138617796,17.337447686605344,5.98038867100036,6.168790436835352,6.133329249606246,6.3630834472081474,5.954359186116422,6.50841597501534,5.444551121866946,5.756062552796698,5.12069200203545,6.654882303831153,5.981459967657574,6.2489123860499785,5.994093162512305,6.320518975915527,11.51865315567339,-1.7316452640739275,16.96712491711981,16.853004900130472,7.6,4.153805336079036,11.738514532429267,11.445014845868423,11.749869427396844,10.51175265376738,10.954196310386875,18.67107107493456,16.729302091968997,14.434041752985229,9.266083758327726,12.168985440978698,14.039176100715009,13.284679534360391,12.7431513941125,16.400629317227537,14.432019846812493,12.312400842197,13.647986748245113,12.676177476832603,14.194833787899983,5.336283387864432,2.070389327891398,5.354028938054387,10.245552706255681,6.954196310386875,8.224001674198105,8.968666793195208,8.179909090014934,10.044394119358454,6.965784284662087,8.011227255423254,8.710806433699352,7.9886846867721655,16.498958252009782,16.941024674205106,15.319213444864149,18.836213739109056,19.636468856349943,0.6040713236688608,9.892694591414974,11.730724857787694,11.248402006143435,18.35164668530355,5.608809242675524,15.571634151857067,9.234141540800131,9.78422160637166,9.046895080897288,-3.3506726028959917,8.696306864004237,8.938756261492294,1.5704796768779576,4.551156523988375,0.0382,0.0388,0.0363,0.0375,0.04190000000000001,0.0669,0.0739,0.0828,0.0913,0.0006,-0.0019,-0.0007000000000000001,0.0037,0.0287,0.035699999999999996,0.0446,0.053099999999999994,6.704942054886352,0.5759899477218166,7.030898831567193,0.8555911077104518,0.26195197859215374,6.941341105485299,6.92362461136832,6.839203788096944,6.648177795724818,6.813781191217037,7.126188210522101,7.040015678847879,6.976134472831654,7.559950612713083,7.006746832440585,6.886306263452426,7.241268177329375,7.130313145543456,7.094869432718697,7.096978636370538,6.063006714840796,7.076398758270518,6.036173612553485,5.873099547182741,3.581351247168777,3.7834566543602395,3.5096958419333872,6.307428525192248,15.924905266508297,17.543025323519895,9.580476981214332,3.8804896266878193,15.017895490336436
5,6/1/1992,12.984425579687024,12.770292229266897,5.819106117738234,19.552370415532703,17.34149276276708,5.981249882621919,6.165329117101826,6.128930544102613,6.356099781994834,5.9341815007983385,6.50614172858991,5.448180745037273,5.762386025426932,5.123897909494487,6.670725638425904,5.986288050630373,6.190832117199727,5.988566539978489,6.321617882104502,11.50084187955693,-1.792629770914069,16.970948445255615,16.85354105039213,7.8,4.185866545311334,11.78053976747196,11.455840909126398,11.875749351420055,10.651051691178928,11.070120944476823,18.675729664894583,16.730218025639687,14.431628182620894,9.25077213159993,12.162391328756906,14.038404628941894,13.282798858683533,12.743992861060175,16.402395896409228,14.432215639041996,12.31027194729777,13.648705854192421,12.67815995754276,14.195526004646197,5.332707933640605,2.035623909730721,5.350497247084133,10.161131882984307,6.845490050944375,8.108524456778168,8.851749041416058,8.189824558880018,10.045759661382682,6.930737337562887,7.918863237274595,8.7714894695006,8.0,16.514714054138487,16.906350423109952,15.265724914486151,18.828877158208737,19.64605061462696,0.6040713236688608,9.898299062373306,11.728515783677446,11.242042714733907,18.362817101758935,5.6293566200796095,15.589300026152637,9.23137912436749,9.780304356864185,9.040477903045428,-3.3656739406320657,8.673379750868666,8.91276960553228,1.5934067899452704,4.548371118688685,0.037599999999999995,0.0392,0.0366,0.0377,0.0417,0.06480000000000001,0.0726,0.08220000000000001,0.09050000000000001,0.0016,-0.001,0.0001,0.0040999999999999995,0.027200000000000002,0.035,0.0446,0.0529,6.672851975743248,0.5109619192773793,6.986814787822257,0.8914969580674063,0.2582173895360179,6.947198584262056,6.92955431573285,6.846744023244868,6.666756591884804,6.831623936820749,7.130313145543456,7.045486656359465,6.9818526532897405,7.5668151540108965,7.012345190419828,6.888743248898259,7.245077275359671,7.135452784185173,7.099084760891864,7.101187815259738,6.065572311593622,7.073252553053548,6.042753760977198,5.875165705847226,3.5861642459309095,3.7949356628035362,3.512226886513957,6.329123596291566,15.943545026377048,17.556217588610124,9.597480148636677,3.8829462279866784,15.981441827266242
6,7/1/1992,12.983276526160319,12.76834976197003,5.8239276484666505,19.571562563375263,17.351707065895212,5.994145221138206,6.179696152412428,6.145186284723524,6.3747734642525105,5.971902171409538,6.518009454058128,5.462811432226675,5.773421452698585,5.140291950367642,6.671037141131473,5.9991634452248785,6.204649389993929,5.993316586983109,6.330750196885264,11.490850876740298,-1.7750571330672795,16.972115974046467,16.85711840443418,7.7,4.177917792195843,11.747353829478062,11.467605550082997,11.8193807908646,10.541096615349524,11.052568050804153,18.756132781414003,16.73130577089941,14.430060461694131,9.244125943283729,12.157978449945432,14.037804309998101,13.279900715802762,12.746724244025831,16.404160315061105,14.429602888672637,12.305007202325246,13.646693703374636,12.677719641641009,14.199749016642558,5.332707933640605,2.035623909730721,5.350497247084133,10.153552031708111,6.94251450533924,8.076815597050832,8.88264304936184,8.098032082960527,10.088788238716907,7.011227255423254,7.977279923499917,8.784634845557521,8.060695931687555,16.509202834591505,16.90348177370355,15.25052049056757,18.81550525823455,19.654205958301098,0.5945485495503542,9.911841355559563,11.728728341696614,11.238165862755134,18.37687151146069,5.638073837180719,15.595140904741697,9.227040194426834,9.778960222363201,9.042344912100555,-3.3673907456435184,8.69714133444375,8.928251870287601,1.5723711031279068,4.589585919720862,0.0325,0.0344,0.0321,0.032799999999999996,0.036000000000000004,0.0584,0.0684,0.08070000000000001,0.08839999999999999,0.0019,-0.0004,0.0003,0.0034999999999999996,0.0259,0.0359,0.0482,0.0559,6.638761087087573,0.41651550434749346,6.975924756880934,0.9393770465477953,0.25386828044171933,6.946028989515477,6.92955431573285,6.84799690655495,6.666756591884804,6.862947248020921,7.134426320220926,7.052024560482831,6.987548258953743,7.574404309022579,7.014578464922892,6.891176124754544,7.249824548616183,7.139551352398794,7.103287808412022,7.104336659814735,6.07032492042511,7.075318692553354,6.04596711065463,5.881052763405118,3.584962500721156,3.7845039829295666,3.5147534984397533,6.259272487037594,15.957102041562287,17.55708378636113,9.617610350228695,3.7337447916940496,15.501779359430607
7,8/1/1992,12.98885187919126,12.773839774186936,5.827488792537707,19.548428078808712,17.356383190214547,5.986222052717045,6.178162870121484,6.143570968977929,6.375305349418188,5.959438649597061,6.523185551730603,5.455849948411971,5.757380674741143,5.132831800449589,6.6505879445149425,5.992090875618721,6.224206242535856,5.923634118388335,6.319989975541072,11.524541715035848,-1.7321092689074609,16.97267694982145,16.858491017368625,7.6,4.169925001442312,11.746514321138463,11.471675214392045,11.805340828416384,10.556506054671928,11.017504401109415,18.63537803585042,16.732935852599457,14.428098411832506,9.234098897837315,12.161446847518008,14.034713003448283,13.27772328161035,12.742309436084,16.406703271097644,14.428491035332245,12.302610366595955,13.645084211975831,12.680359523513713,14.204800367834817,5.332707933640605,2.035623909730721,5.350497247084133,10.259743263690781,6.794415866350106,8.344295907915816,8.900866807980748,8.285402218862249,10.070120944476823,6.954196310386875,7.9886846867721655,8.731319031025064,8.087462841250339,16.472643247796285,16.877607668200138,15.195179937789488,18.800675598598648,19.656019774695018,0.6135316529179271,9.927333531712481,11.730809754662458,11.237150195845182,18.386586666293898,5.649615459063409,15.606752195111985,9.222201525340123,9.781594132422784,9.043692547633027,-3.3735534468178807,8.707117512200993,8.939226577728208,1.5651273471321647,4.609862914455052,0.033,0.0338,0.0313,0.0321,0.0347,0.055999999999999994,0.0659,0.0795,0.08650000000000001,0.0008,-0.0017000000000000001,-0.0009,0.0017000000000000001,0.023,0.0329,0.04650000000000001,0.0535,6.625094162179822,0.37473347803121404,6.9799224428382916,0.9585828739668935,0.25180996817153983,6.947198584262056,6.92955431573285,6.846744023244868,6.653919873119422,6.902073579310743,7.137503523749935,7.047669251391315,6.9886846867721655,7.581200581924957,7.017921907997263,6.893604904858294,7.253611151947168,7.1426176554465775,7.107478646626618,7.108524456778169,6.0722558947129635,7.076398758270518,6.048715725308547,5.8828142064168985,3.5909612413425993,3.790772037862,3.5185351389821804,6.249824548616183,15.9615175226232,17.574733946762887,9.638348842816633,3.850229351976132,15.156249999999998
8,9/1/1992,12.983331755804274,12.76669453572044,5.836858290559986,19.568348574748022,17.370074349106922,5.990789258537609,6.177441464793869,6.140919728757403,6.369084296827719,5.954415024990935,6.5165447105662775,5.461898484218169,5.7686819025715375,5.131988623025169,6.669432182972005,5.99423122692643,6.215610653234073,5.964865283819115,6.318542809702723,11.479275030250205,-1.776491224581914,16.97142006101104,16.857203471508164,7.6,4.177917792195843,11.7431513941125,11.492854620174748,11.774787059601174,10.443979542601253,11.043710863347156,18.66968785810675,16.733372878414148,14.426526848451731,9.221587121264806,12.162391328756906,14.032820605675186,13.275106015146111,12.741466986401146,16.407649502050205,14.428294736938733,12.299665944130178,13.64497159292868,12.683871868622603,14.200668760630073,5.329123596291566,2.0,5.346956889378885,10.211888294546004,6.965784284662087,8.049848549450562,9.027905996569885,8.098032082960527,10.121533517340032,6.9886846867721655,8.03342300153745,8.804131021183318,8.118941072723507,16.511227604989973,16.88119762461718,15.24399211188512,18.790647584655108,19.658422450874145,0.5945485495503542,9.948367231584678,11.735682941646106,11.238942067037968,18.404160315061105,5.6865005271832185,15.646671205381779,9.224989268566613,9.786064727528796,9.041719239866216,-3.3723581416903388,8.709014864903272,8.947081667446813,1.56594560701451,4.616103016022205,0.0322,0.032400000000000005,0.0291,0.0296,0.0318,0.0538,0.0642,0.07919999999999999,0.0862,0.0002,-0.0031,-0.0026,-0.0004,0.0216,0.032,0.047,0.054000000000000006,6.6371684935024495,0.3538878362849074,6.937776335543141,0.8847932625435265,0.28983446517750894,6.950701690089008,6.9342805936400245,6.84924870276441,6.683696454306515,6.878970510151082,7.140574177709902,7.046578366620329,6.9886846867721655,7.587964988882679,7.021257620560519,6.896029602976752,7.256444596473442,7.144658242831882,7.110613805500896,7.110613805500896,6.074612469952539,7.075126120671984,6.049521864532181,5.886501373848083,3.587364990936461,3.7813597135246595,3.5172756932095814,6.24031432933371,15.953309805926157,17.58176020043935,9.647378734241068,3.8337503125466936,15.506732813607371
9,10/1/1992,12.976229365011152,12.758327331570193,5.841721581128462,19.57417599998212,17.3804695204693,6.000635547493615,6.18873323161033,6.155552937037908,6.388168868024629,5.985293210170001,6.53143604794459,5.467207735251792,5.7766883191729885,5.150506874270346,6.6635723354175225,6.002558513687828,6.285866396047056,6.022878214823314,6.323422313565072,11.506803437795647,-1.691334614654055,16.966077302333666,16.856085046660187,7.3,4.24031432933371,11.712527000439824,11.360847084179664,11.775198728897985,10.356451970221755,11.099347810403193,18.527263176163096,16.735754327965484,14.427050893150879,9.22568946001544,12.167418145831737,14.031959603596103,13.272921326867003,12.742519971661299,16.4105010393552,14.429341353201105,12.299608711360522,13.646941158143177,12.685624839726355,14.200592137689254,5.332707933640605,2.035623909730721,5.350497247084133,10.280770770130603,7.011227255423254,8.262094845370179,9.019590728357882,8.174925682500678,10.144658242831882,6.857980995127572,7.9886846867721655,8.92184093707449,8.113742166049189,16.48121605634141,16.95891515609135,15.268139896096494,18.798269274949693,19.659121389241964,0.6040713236688608,9.971112405357369,11.741382714369761,11.238524162779548,18.41617076369638,5.730639955916791,15.693704739225286,9.221240542840128,9.790798749363576,9.03438177222849,-3.3776852153535932,8.688250309133178,8.91686473452586,1.586325859084887,4.592445908888574,0.031,0.0333,0.0286,0.0304,0.033,0.055999999999999994,0.0659,0.0799,0.08839999999999999,0.0023,-0.0024,-0.0006,0.002,0.025,0.0349,0.0489,0.0574,6.672925601669921,0.39791246017690557,6.920831589934067,0.724999444613207,0.31649333777531463,6.9565213633331195,6.940166750482817,6.84924870276441,6.683696454306515,6.83035674741922,7.146695948030656,7.049848549450561,7.001126665454284,7.59618975614441,7.024585638278273,6.899659026377443,7.263973354803409,7.151777654732053,7.11582397743624,7.11582397743624,6.079698105583953,7.077926578685069,6.050610526703437,5.89362917202242,3.5921580021253603,3.791814071161826,3.5197934862411002,6.195741293246449,15.946243790874,17.578054501445237,9.658710269036442,4.127517727440695,15.306986591390261
